"","word","gender","cnt"
"34928","Umwelt","f",114219
"6791","Beschreibung","f",114177
"4567","Auswahl","f",113488
"16546","Gespräch","n",110644
"6524","Bericht","m",109946
"27451","Moment","n",109663
"27452","Moment","m",109663
"19138","Institut","m",109078
"19139","Institut","n",109078
"33162","Technik","f",108538
"1762","Annahme","f",108140
"7031","Betrachtung","f",107985
"3986","Auseinandersetzung","f",106750
"9624","Durchführung","f",106480
"37784","Zweck","m",105964
"25270","Martin","m",105857
"6561","Berücksichtigung","f",104769
"22857","König","m",103929
"27817","Müller","m",103048
"6950","Bestimmung","f",102987
"3485","Auffassung","f",101565
"33818","Theil","m",101308
"33887","Therapie","f",100547
"12908","Erziehung","f",100527
"4309","Aussage","f",100482
"387","Absatz","m",100021
"1436","Anerkennung","f",98612
"3105","Aspekt","m",98571
"35653","Unterricht","m",98547
"37360","Zugang","m",98525
"23095","Kontakt","m",98347
"19374","Interpretation","f",97998
"13241","Existenz","f",97984
"14503","Führung","f",97906
"36604","Zeitung","f",97787
"3602","Aufmerksamkeit","f",97445
"14133","Fehler","m",97005
"14088","Februar","m",96603
"28569","Nähe","f",96447
"36050","Urteil","m",96236
"36051","Urteil","n",96236
"34734","Umfang","m",96067
"28456","Nacht","f",95610
"16508","Gesicht","n",95338
"4709","Autor","m",95115
"12401","Erkenntnis","n",94736
"12402","Erkenntnis","f",94736
"10626","Einstellung","f",94674
"26025","Menge","f",94449
"1905","Ansicht","f",93249
"33940","These","f",93009
"10232","Eindruck","m",92785
"23362","Kooperation","f",92773
"13588","Fähigkeit","f",92188
"2408","Arbeiterklasse","f",92062
"30647","Schweiz","f",91871
"11412","Energie","f",91747
"12569","Ernst","m",91539
"34372","Überblick","m",90958
"7230","Beurteilung","f",90122
"36805","Zentrum","n",89815
"12145","Erde","f",89605
"31603","Service","m",89346
"31604","Service","n",89346
"2438","Arbeitnehmer","m",89224
"1506","Angebot","n",89020
"11798","Entstehung","f",88971
"11510","England","n",87933
"33292","Teilnehmer","m",87627
"28647","Name","m",87582
"16640","Gesundheit","f",87447
"4869","Baden","n",86594
"7451","Bewußtsein","n",86343
"10467","Einleitung","f",86294
"14255","Feld","n",86056
"20076","Kaiser","m",84770
"36572","Zeitraum","m",84383
"18620","Industrie","f",83839
"214","Abhängigkeit","f",83662
"29950","Schreiben","n",83269
"20486","Kapital","n",82878
"1603","Anhang","m",82822
"33010","Tat","f",82794
"30859","Seele","f",82770
"5958","Begründung","f",82766
"15816","Georg","m",82755
"7059","Betrieb","m",82311
"8606","Dimension","f",81933
"35690","Unterscheidung","f",80971
"5074","Bank","f",80853
"19410","Interview","n",80569
"6390","Beratung","f",80117
"22648","Kompetenz","f",80079
"15689","Generation","f",79786
"7450","Bewusstsein","n",79452
"25859","Mehrheit","f",79330
"15454","Gemeinde","f",79089
"7004","Beteiligung","f",78853
"7580","Bibliothek","f",78803
"3725","Auftrag","m",78731
"27058","Mitglied","n",78570
"3057","Arzt","m",78462
"25088","Marketing","n",77829
"11072","Element","n",77689
"450","Abschluss","m",77238
"36026","Ursache","f",76954
"19810","Jugend","f",76608
"3609","Aufnahme","f",75727
"33856","Theologie","f",75645
"1673","Anlage","f",75573
"25508","Material","n",75550
"12383","Erinnerung","f",75350
"22800","Konflikt","m",74618
"27717","Motivation","f",74605
"8438","Dienst","m",74524
"8075","Computer","m",74095
"14346","Fenster","n",74065
"4170","Ausland","n",73928
"4261","Ausnahme","f",73878
"7473","Bezeichnung","f",73821
"2429","Arbeitgeber","m",73313
"4046","Ausgabe","f",73279
"71","Abend","m",73181
"1388","Änderung","f",73121
"6562","Beruf","m",72863
"27208","Mittelpunkt","m",72818
"3558","Aufklärung","f",72286
"37682","Zustimmung","f",72262
"15880","Gericht","n",72188
"34218","Tür","f",72144
"23943","Krankheit","f",71752
"25358","Maß","n",71301
"25359","Maß","f",71301
"10521","Einrichtung","f",71215
"13031","Ethik","f",71083
"19850","Jugendliche","f",71052
"34740","Umfeld","n",70948
"29998","Schrift","f",70745
"7028","Betracht","m",70590
"6713","Beschäftigung","f",70170
"24981","Maria","f",70103
"34755","Umgebung","f",69815
"37814","Zweifel","m",69770
"11913","Entwurf","m",69712
"16575","Gestalt","f",69630
"20911","Kategorie","f",69538
"8551","Differenz","f",69271
"13698","Faktor","m",69122
"9874","Effekt","m",68490
"11501","Engagement","n",68489
"24400","Krise","f",67999
"627","Abteilung","f",67812
"15871","Gerechtigkeit","f",66854
"21158","Kenntnis","f",66705
"24659","Mail","f",66320
"37023","Zimmer","n",66258
"25018","Marke","f",66125
"23309","Konzeption","f",66075
"34307","Typ","m",66002
"28089","Muster","n",65979
"37521","Zürich","n",65971
"10417","Einkommen","n",65917
"202","Abgrenzung","f",65810
"37565","Zusammenfassung","f",65695
"27374","Moderne","f",65277
"19157","Instrument","n",65245
"16323","Geschlecht","n",65177
"2118","Antworten","n",65080
"19702","Italien","n",65039
"24113","Kreis","m",64839
"23036","Konstruktion","f",64293
"6902","Bestandteil","m",64037
"10558","Einschätzung","f",63758
"16870","Gewinn","m",63677
"21196","Kern","m",63667
"2084","Antrag","m",63640
"8563","Differenzierung","f",63601
"12989","Essen","n",63460
"1188","Amt","n",63415
"15275","Gebrauch","m",63393
"29520","Schluss","m",63388
"28769","Nation","f",62718
"37791","Zwecke","f",62680
"1884","Anschluss","m",62623
"37397","Zugriff","m",62586
"269","Ablauf","m",62373
"3805","Auge","n",62371
"22465","Kombination","f",62312
"8743","Diskurs","m",62289
"27699","Moskau","n",62045
"6423","Berechnung","f",61937
"14418","Fernsehen","n",61754
"4602","Auswertung","f",61232
"22770","Konferenz","f",60813
"12665","Erscheinung","f",60732
"12301","Erfüllung","f",60650
"1358","Anbieter","m",60615
"8353","Dialog","m",60610
"18586","Individuum","n",60143
"1407","Andreas","m",60109
"1806","Anpassung","f",60081
"9913","Ehe","f",60056
"19257","Interaktion","f",59939
"5710","Bedarf","m",59924
"27641","Morgen","m",59574
"27642","Morgen","n",59574
"4626","Auto","n",59226
"8925","Dokument","n",59210
"4257","Ausmaß","n",58883
"33259","Teilen","n",58843
"33485","Tendenz","f",58754
"25014","Mark","n",58644
"25015","Mark","f",58644
"7198","Bett","n",58517
"25763","Medizin","f",58408
"31806","Sicherung","f",58315
"28832","NATO","f",58115
"19687","Israel","n",58107
"34589","Übertragung","f",58042
"12810","Erweiterung","f",57939
"22684","Komplexität","f",57855
"20540","Kapitalismus","m",57460
"34553","Übersetzung","f",57372
"28307","Nachfrage","f",56635
"34419","Übergang","m",56603
"33781","Theater","n",56310
"12204","Ereignis","n",56306
"6360","Beobachtung","f",56285
"22928","Konkurrenz","f",56149
"32186","Sitzung","f",55421
"14027","Fassung","f",55258
"12519","Ermittlung","f",54960
"26823","Minister","m",54840
"15306","Geburt","f",54778
"3771","Aufwand","m",54669
"2851","Argument","n",54652
"961","Alternative","f",54646
"2820","Archiv","n",54549
"32627","Szene","f",54149
"14490","Führer","m",54140
"4696","Autonomie","f",54098
"27903","Münster","m",54041
"27904","Münster","n",54041
"519","Absicht","f",54017
"24801","Manager","m",53956
"3811","Augenblick","m",53741
"4296","Ausrichtung","f",53531
"6979","Besuch","m",53528
"12369","Erhöhung","f",53307
"12370","Erhöhung","m",53307
"25762","Medium","n",53173
"33287","Teilnahme","f",53165
"16848","Gewicht","n",52644
"8930","Dokumentation","f",52572
"33146","Team","n",52466
"5265","Basel","n",52395
"17743","Haut","f",52341
"18438","Imperialismus","m",52224
"22509","Kommentar","m",52092
"9332","Dresden","n",51983
"34513","Überprüfung","f",51841
"34501","Übernahme","f",51734
"33599","Test","m",51658
"15212","Gebäude","n",51651
"9747","Düsseldorf","n",51465
"10110","Eigenschaft","f",51433
"19740","Josef","m",51228
"29100","Schicksal","n",51126
"2914","Armee","f",50992
"8810","Distanz","f",50725
"29736","Schneider","m",50701
"4073","Ausgangspunkt","m",50560
"20273","Kammer","f",50537
"19141","Institution","f",50507
"5846","Befragung","f",50376
"5764","Bedingung","f",50314
"8402","Dichter","m",50307
"4228","Auslegung","f",50270
"3593","Auflösung","f",50227
"1872","Anschauung","f",50225
"24440","Kriterium","n",50209
"35623","Unternehmer","m",50038
"28817","Nationalsozialismus","m",49973
"1108","Amerika","n",49756
"30698","Schwerpunkt","m",49639
"27867","Mund","m",49607
"13919","Farbe","f",49501
"33441","Temperatur","f",49462
"4521","Austausch","m",49373
"30711","Schwester","f",49373
"5807","Befehl","m",49353
"30134","Schuld","f",49181
"11827","Entwickelung","f",48881
"5356","Bau","m",48860
"19641","Islam","m",48836
"1724","Anlehnung","f",48705
"6552","Bern","n",48679
"20970","Kauf","m",48674
"560","Abstand","m",48670
"27466","Monat","m",48526
"25367","Masse","f",48316
"6449","Bereitschaft","f",48303
"31012","Sein","n",48271
"6841","Besitz","m",48134
"21506","Kindheit","f",48099
"26112","Menschheit","f",47991
"5659","Bearbeitung","f",47912
"34236","Türkei","f",47909
"3727","Auftraggeber","m",47706
"9353","Drittel","n",47688
"19742","Joseph","m",47626
"12715","Erstellung","f",47586
"18287","Ideologie","f",47555
"32166","Sitz","m",47505
"24841","Mangel","f",47387
"24842","Mangel","m",47387
"33702","Texten","n",47370
"23295","Konzentration","f",47247
"289","Ablehnung","f",47209
"2852","Argumentation","f",47090
"35004","Unabhängigkeit","f",46886
"27602","Moral","f",46875
"26268","Messung","f",46730
"34649","Übung","f",46465
"2900","Arm","m",46248
"12245","Erfassung","f",46168
"2951","Armut","f",46117
"12883","Erzählung","f",46099
"14926","Gang","f",46084
"14927","Gang","m",46084
"35162","Ungarn","n",46077
"244","Abkommen","n",45927
"18912","Initiative","f",45858
"34640","Überzeugung","f",45845
"36934","Zielen","n",45662
"16495","Gesetzgeber","m",45604
"25466","Maßnahme","f",45522
"33186","Technologie","f",45450
"5625","Bayern","n",45266
"24519","Luther","m",45239
"2602","Arbeitslosigkeit","f",45110
"10589","Einsicht","f",44948
"1708","Anlass","m",44909
"23901","Krankenhaus","n",44829
"9755","Dynamik","f",44819
"4028","Ausführung","f",44817
"22984","Konsequenz","f",44803
"8948","Dollar","m",44706
"6199","Belastung","f",44516
"19036","Innovation","f",44493
"2810","Architektur","f",44427
"2396","Arbeiterbewegung","f",44290
"7049","Betreuung","f",44177
"4416","Außenpolitik","f",44170
"15372","Gedanke","m",43667
"18256","Identifikation","f",43652
"18213","Ich","n",43557
"6319","Benutzer","m",43460
"1501","Angabe","f",43426
"18188","Hypothese","f",43325
"35363","Unsicherheit","f",43317
"15355","Gedächtnis","n",43232
"22698","Komponente","f",42840
"26160","Merkmal","n",42698
"451","Abschluß","m",42626
"28226","Mythos","m",42182
"25284","Marxismus","m",42181
"29521","Schluß","m",42167
"8137","Controlling","n",42162
"4097","Ausgestaltung","f",42135
"1757","Anna","f",41995
"13434","Exzellenz","f",41910
"24501","Lust","f",41895
"9890","Effizienz","f",41592
"34343","U","f",41585
"32438","Symbol","n",41558
"12361","Erhebung","f",41341
"27946","Museum","n",41313
"33348","Telefon","n",41207
"16162","Geschäft","n",41112
"37356","Zug","m",41091
"37357","Zug","n",41091
"36034","Ursprung","m",41028
"1734","Anliegen","n",41006
"7372","Beweis","m",40917
"5777","Bedürfnis","n",40898
"29634","Schmerz","m",40895
"27144","Mittelalter","n",40883
"18525","Index","m",40644
"8334","Diagnose","f",40635
"13147","Evaluation","f",40528
"8349","Dialektik","f",40482
"5633","Beachtung","f",40402
"37512","Zuordnung","f",40372
"12458","Erkrankung","f",40292
"6528","Berichterstattung","f",40280
"34561","Übersicht","f",40265
"14083","Fazit","n",40249
"7913","C","n",40246
"4492","Ausstellung","f",40181
"36976","Zielsetzung","f",39963
"1798","Anordnung","f",39906
"18547","Indien","n",39722
"4723","Autorität","f",39633
"31601","Server","m",39468
"2608","Arbeitsmarkt","m",39443
"30032","Schriftsteller","m",39420
"28402","Nachricht","f",39379
"7647","Bilanz","f",39337
"31844","Sichtweise","f",39336
"37639","Zuschauer","m",39255
"34298","TV","n",39202
"34897","Umstand","m",39099
"27716","Motiv","n",39066
"7035","Betrag","m",38887
"16421","Gesellschafter","m",38879
"12813","Erwerb","m",38872
"6382","Berater","m",38708
"2655","Arbeitsplatz","m",38681
"14762","Fuß","m",38419
"9712","Durchsetzung","f",38356
"3958","Ausdehnung","f",38174
"23382","Koordination","f",38100
"6774","Beschluss","m",38028
"6554","Bernhard","m",37997
"26351","Meter","m",37993
"2913","Arme","f",37950
"8006","Code","m",37924
"6885","Bestand","m",37880
"34394","Übereinstimmung","f",37804
"6033","Behörde","f",37794
"11587","Entfernung","f",37620
"10122","Eigentum","n",37576
"33021","Täter","m",37573
"29534","Schlüssel","m",37345
"25545","Mathematik","f",37134
"14000","Faschismus","m",36904
"20722","Karte","f",36816
"9678","Durchschnitt","m",36815
"10192","Einbeziehung","f",36625
"35639","Unternehmung","f",36600
"25298","Maschine","f",36514
"28511","Nachweis","m",36345
"25785","Meer","n",36289
"25786","Meer","m",36289
"15431","Geltung","f",36234
"17129","Gut","n",36227
"5882","Begegnung","f",36176
"17942","Hund","m",36078
"13715","Fakultät","f",35998
"31128","Selbst","n",35960
"4860","Bad","n",35870
"3878","Ausbau","m",35783
"6031","Behinderung","f",35701
"34833","Umsatz","m",35669
"18861","Infrastruktur","f",35613
"18452","Implementierung","f",35491
"15617","General","m",35409
"10742","Einzelfall","m",35247
"8409","Dichtung","f",35008
"4562","Ausübung","f",34965
"26479","Migration","f",34939
"7440","Bewohner","m",34893
"36464","Zeile","f",34808
"36480","Zeitalter","n",34731
"37377","Zugehörigkeit","f",34680
"30596","Schweden","n",34635
"16266","Geschehen","n",34599
"14995","Garten","m",34549
"2886","Aristoteles","m",34514
"19242","Intensität","f",34448
"30818","See","m",34418
"30819","See","f",34418
"18352","Image","n",34315
"23944","Krankheiten","f",34262
"8337","Diagnostik","f",34253
"16194","Geschäftsführer","m",34247
"9115","Dorf","n",34095
"1582","Angriff","m",34062
"21998","Klinik","f",34025
"21853","Kleidung","f",33986
"37139","Zitat","n",33859
"32782","Tagung","f",33809
"10573","Einschränkung","f",33808
"5851","Befreiung","f",33715
"36946","Zielgruppe","f",33643
"16496","Gesetzgebung","f",33630
"10343","Einhaltung","f",33625
"6775","Beschluß","m",33497
"3760","Auftreten","n",33299
"8686","Direktor","m",33233
"5770","Bedrohung","f",33162
"37478","Zunahme","f",33098
"8830","Disziplin","f",33093
"28111","Mut","f",32995
"28112","Mut","m",32995
"17828","Hotel","n",32884
"5419","Bauer","n",32865
"5420","Bauer","m",32865
"12035","Epoche","f",32836
"37596","Zusammensetzung","f",32835
"34616","Überwachung","f",32799
"3296","Atmosphäre","f",32786
"577","Abstimmung","f",32747
"19225","Intelligenz","f",32747
"25937","Meister","m",32724
"15340","Geburtstag","m",32685
"29031","Schema","n",32636
"20706","Karriere","f",32556
"20978","Käufer","m",32495
"12629","Errichtung","f",32384
"25542","Materie","f",32370
"11227","Empfänger","m",32340
"5724","Bedenken","n",32309
"31673","Sexualität","f",32234
"15606","Genehmigung","f",32202
"37349","Zufriedenheit","f",32126
"22611","Kommunismus","m",32121
"6981","Besucher","m",31975
"19131","Instanz","f",31865
"16393","Geschwindigkeit","f",31774
"23166","Kontinuität","f",31739
"10671","Eintritt","m",31735
"19066","Insel","f",31723
"12538","Ernährung","f",31676
"17635","Haushalt","m",31665
"24986","Marie","f",31641
"1948","Anstieg","m",31473
"29848","Schönheit","f",31444
"17130","Gutachten","n",31437
"19904","Junge","m",31436
"4893","Bahn","f",31408
"4280","Ausprägung","f",31407
"27376","Modernisierung","f",31359
"19402","Intervention","f",31357
"26948","Mission","f",31328
"16032","Gesamtheit","f",31211
"11107","Elisabeth","f",31157
"17791","Horst","m",31004
"32012","Simon","m",30976
"20246","Kamera","f",30916
"3651","Aufsatz","m",30907
"31896","Sieg","m",30857
"6694","Beschaffenheit","f",30716
"34330","Typus","m",30701
"13469","Fach","n",30700
"31104","Sektor","m",30636
"16786","Gewebe","n",30625
"10715","Einwirkung","f",30619
"31376","Selbstverständnis","n",30587
"7309","Bewältigung","f",30577
"1109","Amerikaner","m",30554
"35199","Ungleichheit","f",30460
"34137","Tschechoslowakei","f",30377
"33826","Thematik","f",30207
"4171","Ausländer","m",30199
"4363","Ausschuß","m",30180
"25576","Matthias","m",30165
"4152","Auskunft","f",30130
"22223","Koch","n",30123
"22224","Koch","m",30123
"7557","Bibel","f",30109
"10718","Einwohner","m",30065
"3170","Ästhetik","f",30064
"10298","Eingang","m",30060
"4101","Ausgleich","m",30050
"14560","Fülle","f",30027
"6457","Berg","m",29981
"22850","Kongreß","m",29966
"8541","Dietrich","m",29935
"12312","Ergänzung","f",29882
"22183","Knoten","m",29854
"1934","Anstalt","f",29816
"5506","Baum","m",29737
"37663","Zuständigkeit","f",29705
"6656","Berufung","f",29696
"23683","Kosovo","n",29695
"20039","Kaffee","m",29675
"2767","Arbeitszeit","f",29601
"22976","Konsens","m",29526
"26839","Ministerium","n",29332
"28731","Nase","f",29202
"25475","Maßstab","m",29172
"36238","Zahlung","f",29132
"10197","Einbindung","f",29127
"28300","Nachfolger","m",29095
"12477","Erleben","n",29018
"29079","Schicht","f",28979
"6011","Behauptung","f",28975
"16524","Gesichtspunkt","m",28834
"10494","Einordnung","f",28696
"3546","Aufhebung","f",28580
"31478","Sender","m",28562
"22971","Konrad","m",28555
"3708","Aufstieg","m",28524
"24017","Kreativität","f",28481
"17327","Häufigkeit","f",28469
"2188","Anzeige","f",28448
"27791","Mühe","f",28440
"5791","Beendigung","f",28177
"21123","Keller","m",28156
"9959","Ehre","f",28045
"4410","Außenminister","m",28008
"22277","Kohl","m",27980
"23056","Konsum","m",27979
"28462","Nachteil","m",27964
"6697","Beschaffung","f",27921
"32198","Skala","f",27911
"12352","Erhaltung","f",27872
"4487","Ausstattung","f",27866
"8798","Dissertation","f",27841
"6787","Beschränkung","f",27805
"29165","Schiff","n",27780
"37724","Zwang","m",27766
"6355","Beobachter","m",27666
"36656","Zelle","f",27607
"6904","Bestätigung","f",27592
"1759","Annäherung","f",27552
"9827","Ecke","f",27507
"11256","Empfindung","f",27504
"2143","Anweisung","f",27500
"8470","Dienstleistung","f",27451
"27136","Mitteilung","f",27448
"15412","Gedicht","n",27375
"27400","Modus","m",27318
"2081","Anton","m",27293
"35982","Urlaub","m",27286
"13657","Fahrt","f",27235
"14072","Fax","n",27226
"10123","Eigentümer","m",27184
"24673","Mainz","n",27161
"2022","Antike","f",27101
"2062","Antisemitismus","m",27078
"17083","Gültigkeit","f",27060
"29018","Scheitern","n",27010
"1605","Anhänger","m",26992
"33384","Telegramm","n",26986
"37250","Zone","f",26892
"6453","Bereitstellung","f",26767
"22201","Koalition","f",26760
"25227","Marktwirtschaft","f",26706
"27067","Mitgliedschaft","f",26651
"37330","Zufall","m",26638
"12072","Erbe","n",26585
"12073","Erbe","m",26585
"11789","Entspannung","f",26474
"12296","Erforschung","f",26424
"14130","Fehlen","n",26276
"12795","Erwartung","f",26217
"21857","Klein","n",26209
"27314","Mobilität","f",26198
"1527","Angehörige","f",26171
"19739","Jörg","m",26081
"24903","Mannheim","n",26081
"36856","Zerstörung","f",26070
"30553","Schwarz","n",26066
"26327","Metaphysik","f",26042
"4599","Ausweitung","f",26032
"26712","Minderheit","f",26001
"11504","Engel","m",25993
"25526","Materialismus","m",25920
"5638","Beamte","f",25893
"1535","Angelegenheit","f",25880
"4467","Aussicht","f",25822
"13180","Evolution","f",25771
"28334","Nachhaltigkeit","f",25737
"8592","Diktatur","f",25670
"25232","Markus","m",25620
"7396","Bewerber","m",25619
"11513","Englisch","n",25541
"28600","Nahrung","f",25481
"10414","Einklang","m",25349
"4060","Ausgang","m",25270
"1990","Anthropologie","f",25265
"7026","Betonung","f",25192
"25584","Mauer","f",25184
"31175","Selbstbestimmung","f",25134
"11583","Entfaltung","f",25119
"17514","Hauptstadt","f",25092
"21738","Klärung","f",25050
"3455","Aufenthalt","m",25018
"35471","Unterhaltung","f",24998
"29289","Schlaf","m",24960
"4344","Ausschluss","m",24955
"33524","Termin","m",24922
"14703","Furcht","f",24902
"6941","Besteuerung","f",24889
"35561","Unternehmensführung","f",24806
"31562","Serbien","n",24804
"807","Achtung","f",24800
"34632","Überwindung","f",24795
"21681","Klage","f",24790
"24446","Kritiker","m",24756
"27278","Mitwirkung","f",24749
"5870","Befund","m",24722
"23034","Konstrukt","n",24673
"6830","Besetzung","f",24623
"14059","Faust","f",24587
"26552","Milch","f",24560
"713","Abweichung","f",24544
"4718","Autorin","f",24538
"21964","Klima","n",24535
"19962","Justiz","f",24517
"18226","Ideal","n",24515
"18","Abbau","m",24478
"4463","Äußerung","f",24347
"33582","Terrorismus","m",24305
"24185","Kreuz","n",24284
"1186","Amsterdam","m",24254
"1187","Amsterdam","n",24254
"3646","Aufruf","m",24206
"5383","Bauch","m",24099
"30312","Schulter","f",24085
"25897","Mehrzahl","f",24051
"14214","Feind","m",24035
"16915","Gewissen","n",24033
"32693","Tafel","f",24020
"6863","Besonderheit","f",24006
"14766","Fußball","m",23983
"13303","Experiment","n",23862
"26997","Mitarbeit","f",23831
"12868","Erzähler","m",23791
"33600","Testament","n",23758
"11562","Entdeckung","f",23732
"19889","Jugoslawien","n",23723
"21529","Kino","n",23718
"31447","Seminar","n",23703
"12627","Erreichung","f",23679
"34160","Tuberkulose","f",23604
"8741","Diskriminierung","f",23585
"5918","Begleitung","f",23563
"29790","Schnittstelle","f",23464
"26321","Metapher","f",23443
"10381","Einigung","f",23383
"12633","Ersatz","m",23345
"36092","Uterus","m",23291
"30725","Schwierigkeit","f",23271
"10658","Einteilung","f",23168
"13144","Eva","f",23166
"6873","Besprechung","f",23127
"1752","Anmerkung","f",23126
"19489","Investition","f",23126
"3936","Ausblick","m",23079
"3937","Ausblick","f",23079
"3723","Aufteilung","f",22975
"845","Adam","m",22965
"10338","Eingriff","m",22941
"19187","Inszenierung","f",22930
"4980","Ball","m",22929
"14730","Fürst","m",22876
"20878","Katalog","m",22872
"5655","Beantwortung","f",22851
"6132","Beitritt","m",22806
"14110","Feedback","n",22785
"30177","Schuldner","m",22761
"29868","Schöpfung","f",22746
"9880","Effektivität","f",22721
"32024","Simulation","f",22721
"12250","Erfindung","f",22708
"10083","Eigenkapital","n",22707
"28792","Nationalismus","m",22692
"17334","Haupt","n",22685
"3706","Aufstellung","f",22655
"24126","Kreisen","n",22649
"23022","Konstellation","f",22624
"27025","Mitbestimmung","f",22619
"35332","Unrecht","n",22582
"2178","Anwesenheit","f",22530
"33270","Teilhabe","f",22486
"18577","Individualität","f",22461
"5862","Befriedigung","f",22401
"5788","Beeinflussung","f",22374
"34678","Ukraine","f",22374
"2146","Anwender","m",22320
"35981","URL","f",22302
"19752","Journalismus","m",22280
"6823","Beseitigung","f",22278
"27250","Mittelwert","m",22245
"31485","Sendung","f",22225
"11250","Empfehlung","f",22202
"9863","Edition","f",22187
